country,region,year,earthquakeDeaths
Cyprus,Europe,1978,0
Dominica,Americas,1978,0
Dominican Republic,Americas,1978,0
Ecuador,Americas,1978,0
Egypt,Africa,1978,0
El Salvador,Americas,1978,0
Fiji,Asia,1978,0
Georgia,Europe,1978,0
Germany,Europe,1978,0
Greece,Europe,1978,50
Guatemala,Americas,1978,0
Guinea,Africa,1978,0
Honduras,Americas,1978,0
Iceland,Europe,1978,0
India,Asia,1978,0
Indonesia,Asia,1978,0
Iran,Asia,1978,25000
Iraq,Asia,1978,0
Italy,Europe,1978,5
Japan,Asia,1978,49
Kazakhstan,Asia,1978,0
Kenya,Africa,1978,0
Kyrgyz Republic,Asia,1978,0
Malawi,Africa,1978,0
Mexico,Americas,1978,9
Morocco,Africa,1978,0
Mozambique,Africa,1978,0
Myanmar,Asia,1978,0
Nepal,Asia,1978,0
Netherlands,Europe,1978,0
New Zealand,Asia,1978,0
Nicaragua,Americas,1978,0
North Korea,Asia,1978,0
Pakistan,Asia,1978,0
Panama,Americas,1978,0
Papua New Guinea,Asia,1978,0
Peru,Americas,1978,0
Philippines,Asia,1978,0
Poland,Europe,1978,0
Romania,Europe,1978,0
Russia,Europe,1978,0
Rwanda,Africa,1978,0
Slovenia,Europe,1978,0
Solomon Islands,Asia,1978,0
South Africa,Africa,1978,0
Spain,Europe,1978,0
St. Lucia,Americas,1978,0
Sudan,Africa,1978,0
Tajikistan,Asia,1978,0
Tanzania,Africa,1978,0
Thailand,Asia,1978,0
Tonga,Asia,1978,0
Trinidad and Tobago,Americas,1978,0
Turkey,Europe,1978,0
Turkmenistan,Asia,1978,0
Uganda,Africa,1978,0
United Kingdom,Europe,1978,0
United States,Americas,1978,0
Uzbekistan,Asia,1978,0
Vanuatu,Asia,1978,0
Venezuela,Americas,1978,0
Yemen,Asia,1978,0
Afghanistan,Asia,1979,0
Albania,Europe,1979,35
Algeria,Africa,1979,0
Argentina,Americas,1979,0
Armenia,Europe,1979,0
Australia,Asia,1979,0
Austria,Europe,1979,0
Azerbaijan,Europe,1979,0
Bangladesh,Asia,1979,0
Barbados,Americas,1979,0
Belgium,Europe,1979,0
Bolivia,Americas,1979,0
Brazil,Americas,1979,0
Bulgaria,Europe,1979,0
Burundi,Africa,1979,0
Chile,Americas,1979,0
China,Asia,1979,82
Colombia,Americas,1979,360
"Congo, Dem. Rep.",Africa,1979,0
"Congo, Rep.",Africa,1979,0
Costa Rica,Americas,1979,0
Croatia,Europe,1979,0
Cuba,Americas,1979,0
Cyprus,Europe,1979,0
Dominica,Americas,1979,0
Dominican Republic,Americas,1979,0
Ecuador,Americas,1979,0
Egypt,Africa,1979,0
El Salvador,Americas,1979,0
Fiji,Asia,1979,0
Georgia,Europe,1979,0
Germany,Europe,1979,0
Greece,Europe,1979,48
Guatemala,Americas,1979,0
Guinea,Africa,1979,0
Honduras,Americas,1979,0
Iceland,Europe,1979,0
India,Asia,1979,0
Indonesia,Asia,1979,99
Iran,Asia,1979,565
Iraq,Asia,1979,0
Italy,Europe,1979,5
Japan,Asia,1979,27
Kazakhstan,Asia,1979,0
Kenya,Africa,1979,0
Kyrgyz Republic,Asia,1979,0
Malawi,Africa,1979,0
Mexico,Americas,1979,5
Morocco,Africa,1979,0
Mozambique,Africa,1979,0
Myanmar,Asia,1979,0
Nepal,Asia,1979,0
Netherlands,Europe,1979,0
New Zealand,Asia,1979,0
Nicaragua,Americas,1979,0
North Korea,Asia,1979,0
Pakistan,Asia,1979,0
Panama,Americas,1979,0
Papua New Guinea,Asia,1979,0
Peru,Americas,1979,13
Philippines,Asia,1979,0
Poland,Europe,1979,0
Romania,Europe,1979,0
Russia,Europe,1979,0
Rwanda,Africa,1979,0
Slovenia,Europe,1979,0
Solomon Islands,Asia,1979,0
South Africa,Africa,1979,0
Spain,Europe,1979,0
St. Lucia,Americas,1979,0
Sudan,Africa,1979,0
Tajikistan,Asia,1979,0
Tanzania,Africa,1979,0
Thailand,Asia,1979,0
